,text
0,not sure if it’s russian bots or not but bernie sanders supporters have moved up the most insufferable twitter group rankings
1,bernie sanders is literally older than the attack on pearl harbor berntout
2,"and then there were 

tulsi powerful intelligent woman of color gabbard

senile pedo joe biden

elizabeth was a r… "
3,": ""the obstacle in the way of a more progressive future for americans isn’t sanders but the coaliti… "
4, bernie sanders = trump with slightly better hair
5," my wish is for a bernie sanders presidency

after that it's all you buddy"
6,still i do not want to make too big a deal of this ideological breakdown buttigieg was only polling in the low dou… 
7, are you not supposed to be a republican stop talking about sanders at the end trump won beca… 
8,israel ambassador to un: we don’t want ‘ignorant fool’ bernie sanders in israel via 
9, many warren fans seem to think it's better to concede to biden tha… 
10, in regards to the division that a trump v sanders general would bring i personally b… 
11, _bernie yes her constant attacks on sanders the last few months speak to unity
12, dude you gotta quit this nonsense tulsi has been blackballed since day one and we are entering a crucia… 
13,_rosenberg biden and sanders both beat trump if we support him i am all in for sanders but you bet your life… 
14,mark kelly knows our state az is deeply purple it will not be a state sanders can win i voted for warren becaus… 
15,i just did a number crunch on fivethirtyeight’s latest delegate projections for super tuesday here are the totals:… 
16, i don’t want sanders or trump
17," oh my why is there a need for this question struggling
i've learned much abo… "
18,someone sent my mother the picture of bernie sanders being arrested for a civil rights demonstration with the capti… 
19, i love it when my two favorite things are mixed star trek deep space nine and bernie sanders
20, you are right to endorse and sanders is a sensible choice for all the reasons you describe we are liv… 
21," sadly i do not think she'll listen and will view your opinion as ""mean"" rather than v… "
22, … 
23, socialism needs to be defeated i wouldn’t like to… 
24, we will see if sanders wins on super tusday i still see sanders winning
25, i’m not in ca but i will be voting for sen bernie sanders he will be an excellent commander in c… 
26, a sanders nomination means a second trump term a biden nomination means a second trump term why… 
27,as cynically selfserving as this rhetoric is it's fairly obvious that trump feels an emotional affinity for sande… 
28, lift biden i live in sc not once did bernie's campaign… 
29, _ remember them boycotting the restaurant that booted sarah liar sanders
30," and if sanders wins in years he'll be running again this time as the ""most socialistest in the race"""
31, wow can he give us free milk at lunch and proms sanders will say anything anything to… 
32,"""sanders is delegates short of what he needs and warren is short the media may be putting this primar… "
33,"prediction for tomorrow:

biden: va nc tn al ar ok tx
sanders: ca ut co me mn vt ma"
34,public enemy radio – minus flavor flav – rallies bernie sanders supporters at benefit show via 
35,i'm predicting that bernie sanders and elizabeth warren will join forces to go up against the joe biden + pete butt… 
36,warren was my candidate (and i still plan to vote for her futile as that's likely to be) but that does not make it… 
37,whoever takes a victory lap when the democratic national convention concludes on july will need every single one… 
38," you're not getting it straight

if most democrats 'do not want sanders' then why most democrats are vot… "
39, although i criticized bernie sanders on skipping selma but i have never criticized his mess… 
40, bernie sanders with the kick stunerr stunner stunnerrrrr my ghhawd bernie sanders… 
41,_sanders do you need to lay down *picks him up in a swoop*
42, _lavilla _ it will be voters who do not support him you can not lump all voters… 
43,vote for bernie sanders
44,i genuinely feel sorry for bernie sanders he takes it from all sides i don’t know how he does it
45, well trump as it made with any of them biden or sanders will be easy for trump
